artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,genre_1,genre_2,genre_3,mood_1
Kilfenora Fiddle Ceili Band,Kilfenora Reels: Connemara Stocking - The Westmeath Hunt - A Fair Wind,0.861,0.196,115.45,0.076,0.702,0.0115,4,0.493,2,171683,-7.956,0.942,1,Traditional,Celtic,Celtic,Upbeat
Chance The Rapper,Juke Jam (feat. Justin Bieber & Towkio),0.397,0.0853,95.063,0.324,0.716,0,1,0.505,5,219683,-9.349,0.544,1,Urban,Western Hip-Hop/Rap,Conscious Hip-Hop/Rap,Sophisticated
Neon Trees,Sleeping With A Friend,0.89,0.324,107.037,0.0364,0.00204,6.66E-06,4,0.58,2,228840,-4.272,0.519,1,Alternative & Punk,Alternative,Alternative Pop,Defiant
Fossil Collective,In a Northern Sky,0.164,0.114,79.865,0.0317,0.932,0.000883,3,0.4,7,253952,-15.118,0.0385,1,Alternative & Punk,Alternative Folk,Alternative Folk,
Allan Holdsworth,Metal Fatigue,0.595,0.03,109.951,0.0603,0.0209,0.000661,3,0.529,2,296194,-11.576,0.51,1,Jazz,Contemporary Jazz & Fusion,Fusion,Upbeat
A Great Big World,Say Something,0.147,0.0913,141.284,0.0355,0.857,2.89E-06,3,0.407,2,229400,-8.822,0.0796,1,Pop,Western Pop,Adult Alternative Pop,Melancholy
The Cadillac Three,Drunk Like You,0.789,0.358,140.081,0.0405,0.224,0.000199,4,0.543,0,211227,-5.949,0.599,1,Rock,70's Rock,Southern Rock,Gritty
Perfect Stranger,You Have The Right To Remain Silent,0.436,0.107,163.928,0.0275,0.411,0,4,0.577,2,210867,-10.988,0.435,1,Traditional,Country,Contemporary Country,Empowering
Hannah Peel,Blue Monday,0.171,0.0606,119.561,0.043,0.955,3.38E-05,4,0.597,0,164520,-12.727,0.446,1,Alternative & Punk,Indie Rock,Post-Modern Art Music,
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),0.563,0.179,100.017,0.134,0.621,0,4,0.728,1,217707,-8.053,0.35,0,Pop,Western Pop,Teen Pop,Sensual
Gorgon City,Smile,0.73,0.0557,112.953,0.0597,0.049,0.00036,4,0.699,7,198002,-6.337,0.572,1,Electronica,House,Deep House,Brooding
Modern Space,High By The Beach,0.764,0.635,138.023,0.0473,0.0496,0,4,0.661,1,217812,-5.353,0.814,1,Pop,Western Pop,Pop Vocal,Urgent
Shad,Rose Garden,0.915,0.333,183.335,0.335,0.0509,1.33E-06,4,0.585,11,177373,-4.39,0.844,1,Urban,Western Hip-Hop/Rap,Conscious Hip-Hop/Rap,Cool
Brett Kissel,Cool With That,0.829,0.371,152.088,0.0458,0.0555,0,4,0.433,9,229680,-4.736,0.519,1,Traditional,Country,Contemporary Country,Yearning
Pam Donkin,Gotta Get The Beat,0.387,0.104,90.972,0.502,0.535,7.90E-05,4,0.714,4,101720,-13.295,0.616,0,Other,Children's,General Children's Music,Other
Alban Berg,"Berg: Violin Concerto, ""To the memory of an angel"": I. Allegro - Adagio",0.0496,0.112,63.717,0.0435,0.922,0.25,3,0.0686,5,960572,-26.192,0.0347,1,Classical,Other Classical,General Classical,Serious
Eptic,On The Block - Original Mix,0.94,0.0648,127.936,0.183,0.000161,0.635,4,0.824,0,217500,-3.955,0.199,1,Urban,Western Hip-Hop/Rap,General Hip-Hop/Rap,Cool
Johannes Brahms,"String Quartet No. 2 in A Minor, Op. 51: I. Allegro non troppo",0.128,0.0841,77.529,0.0503,0.936,0.787,4,0.188,0,822573,-16.892,0.12,1,Classical,Romantic Era,Romantic Era Instrumental,Romantic
Auras,The Ripple Effect,0.959,0.11,140.105,0.106,5.93E-06,0.759,4,0.484,1,199854,-5.007,0.608,1,Rock,Metal,Heavy Metal,Aggressive
The Meters,Cissy Strut,0.811,0.348,176.142,0.0997,0.115,0.831,4,0.53,0,181840,-9.343,0.7,1,Urban,Classic R&B/Soul,Funk,Cool
Ashley Wallbridge,Es Vedra,0.97,0.0578,127.989,0.0439,0.00469,0.0229,4,0.498,1,236484,-2.95,0.337,1,Other,Meditative & Space,Meditative,Melancholy
Bruce Springsteen,Thunder Road,0.673,0.387,140.302,0.0338,0.683,3.75E-05,4,0.37,5,288600,-8.507,0.668,1,Rock,Mainstream Rock,General Mainstream Rock,Upbeat
Cody Johnson,With You I Am,0.665,0.14,75.023,0.027,0.403,0,4,0.559,7,220893,-6.233,0.395,1,Traditional,Classic Country,Texas Country,Yearning
Jerry Martin,Under Construction,0.411,0.12,99.485,0.0389,0.793,0.893,4,0.425,0,288877,-15.063,0.474,1,Traditional,Folk,Trad. Bluegrass,Rowdy
KRNE,Propane,0.903,0.0434,148.035,0.0779,0.154,0.802,4,0.707,1,183243,-2.141,0.79,1,Electronica,House,U.K. Garage,
Sound Dreamer,Brown Noise - 1 Hour,0.00011,0.243,0,,0.111,0.388,,,2,3720046,-21.443,,1,Other,New Age,General New Age,Somber
Brett Dennen,Only Want You,0.354,0.11,139.843,0.0356,0.807,4.21E-06,4,0.735,9,206200,-11.941,0.602,1,Pop,Western Pop,Adult Alternative Pop,Melancholy
Tortoise,Why We Fight,0.73,0.105,115.771,0.043,0.445,0.829,4,0.641,9,261587,-13.998,0.696,1,Alternative & Punk,Indie Rock,Post-Rock,Yearning
St. Vincent,Cruel,0.704,0.0905,115.037,0.0314,0.0104,0.446,4,0.57,1,214987,-8.32,0.432,1,Alternative & Punk,Alternative,Alternative Singer-Songwriter,Yearning
The New Respects,Trouble,0.717,0.383,147.862,0.0747,0.0172,0,4,0.504,2,204634,-5.465,0.358,1,Alternative & Punk,Garage Rock Revival,Garage Rock Revival,Defiant
Aloe Blacc,Let the Games Begin,0.681,0.317,172.459,0.0419,0.0368,7.79E-05,3,0.224,7,222280,-7.012,0.311,1,Urban,Contemporary R&B/Soul,Neo-Soul,Yearning
Tomaso Albinoni,"Concerto a cinque No. 2, Op. 9: I. Allegro e no presto",0.265,0.0543,169.477,0.0462,0.822,0.772,4,0.334,1,234347,-14.075,0.517,0,Classical,Baroque Era,Baroque Instrumental,Tender
George Frideric Handel,"Keyboard Concerto No. 13 in F Major, HWV 295, ""The Cuckoo and The Nightingale"": I. Larghetto",0.0324,0.0739,93.365,0.0362,0.987,0.833,3,0.234,5,162173,-23.913,0.137,1,Classical,Other Classical,Classical Solo Instrumental,Peaceful
Black Sabbath,The Devil Cried,0.797,0.19,121.99,0.0427,2.50E-05,6.43E-05,4,0.395,4,361067,-5.137,0.423,1,Rock,Metal,Classic British Metal,
Mozzy,Activities 2,0.722,0.479,90.313,0.239,0.0454,0,4,0.531,10,240613,-7.581,0.696,0,Urban,Western Hip-Hop/Rap,General Hip-Hop/Rap,Energizing
Darkthrone,Alle Gegen Alle,0.966,0.162,151.842,0.0766,0.0107,0.765,4,0.113,7,201187,-4.016,0.039,1,Rock,Metal,Black Metal,Urgent
Katrina & The Waves,Walking On Sunshine,0.869,0.0678,109.902,0.037,0.0116,0.173,4,0.596,10,238733,-11.97,0.949,1,Alternative & Punk,New Wave Pop,New Wave Pop,Excited
Sander van Doorn,Ori Tali Ma - LVNDSCAPE Remix,0.825,0.11,110.011,0.0307,0.0148,0.318,4,0.679,3,261818,-5.59,0.088,1,Electronica,House,Progressive House,
Thyra,How Deep Is Your Love,0.237,0.0968,95.204,0.0287,0.836,0,4,0.595,5,233375,-10.021,0.202,1,Pop,Western Pop,Pop Vocal,Sentimental
KC & The Sunshine Band,Get Down Tonight,0.754,0.46,112.683,0.0279,0.134,0.0069,4,0.669,10,315745,-12.223,0.908,1,Electronica,Disco,Disco,Cool
The Temptations,"My Girl - ""16 Big Hits"" Stereo Version",0.585,0.596,104.331,0.0795,0.424,0,4,0.61,0,176253,-5.063,0.626,1,Urban,Classic R&B/Soul,Classic Motown,Upbeat
Testament,Over The Wall,0.897,0.0735,103.885,0.0927,6.91E-06,0.0765,4,0.219,0,246760,-8.492,0.261,1,Rock,Metal,Thrash Metal,Aggressive
Quasimoto,Catchin' the Vibe,0.557,0.0926,90.844,0.34,0.133,0.00261,4,0.904,1,163413,-6.717,0.821,1,Urban,Western Hip-Hop/Rap,Underground Hip-Hop/Rap,Cool
Gr,ar Til Eldurinn Mig Gleypir,0.908,0.0767,174.885,0.0716,8.26E-05,0.78,4,0.134,4,340760,-6.112,0.0466,1,Rock,Metal,Heavy Metal,Brooding
Lanks,Bitter Leaf,0.538,0.103,144.921,0.107,0.338,3.05E-05,4,0.797,7,192650,-4.212,0.412,0,Electronica,Electronica Mainstream,Pop Electronica,Cool
Xscape,Just Kickin' It,0.365,0.401,80.904,0.0635,0.054,3.43E-05,4,0.694,1,204133,-12.294,0.705,0,Urban,Contemporary R&B/Soul,Urban AC,Sensual
Eric Bellinger,Remind Her,0.662,0.164,107.24,0.0752,0.783,1.03E-06,4,0.442,8,216519,-6.514,0.659,1,Urban,Contemporary R&B/Soul,Urban Crossover,Sensual
Russian Circles,Mota,0.821,0.122,164.04,0.0549,0.00014,0.685,4,0.243,11,392733,-7.223,0.149,0,Rock,Metal,Doom Metal,Defiant
Jethro Tull,Heavy Horses - 2003 Remastered Version,0.594,0.251,111.381,0.0466,0.252,0,4,0.436,5,534667,-8.195,0.501,1,Rock,70's Rock,Classic Rock,Sentimental
Tony Matterhorn,Dutty Wine,0.923,0.268,156.914,0.367,0.133,0,3,0.487,5,171173,-4.697,0.938,0,Other,Reggae,Dancehall,Other
Leo Janek,"Sinfonietta, JW VI/18 : II. Andante",0.128,0.386,74.143,0.0387,0.952,0.892,4,0.15,8,336840,-20.27,0.0628,0,Classical,Other Classical,General Classical,Serious
Nobuo Uematsu,"Answers (From ""Final Fantasy XIV"")",0.332,0.0968,79.767,0.0311,0.791,1.83E-06,4,0.166,2,429000,-11.182,0.159,0,Soundtrack,Game Music,Game Music,Serious
Cur De Pirate,Oceans Brawl,0.594,0.931,169.911,0.0396,0.515,0.000501,4,0.416,9,309720,-8.057,0.113,0,Pop,European Pop,Chanson,Brooding
The Bones of J.R. Jones,The Heat,0.841,0.0369,92.992,0.0802,0.144,0.000511,4,0.588,2,194332,-4.374,0.661,1,Traditional,Electric Blues,General Blues,Rowdy
Hayley Kiyoko,Palace,0.795,0.0979,74.992,0.0671,0.0108,1.00E-06,4,0.582,0,240840,-4.108,0.246,1,Pop,Western Pop,Teen Pop,
Benjamin Frith,"Nocturne No. 18 In E Major, 'Midi'",0.0323,0.0897,97.384,0.0435,0.986,0.917,4,0.329,4,374227,-30.22,0.15,1,Classical,Other Classical,Classical Solo Instrumental,Tender
One Way,Cutie Pie,0.676,0.0286,102.866,0.0573,0.38,0.00129,4,0.873,2,325280,-5.524,0.965,1,Urban,Classic R&B/Soul,Funk,Energizing
Samuel E. Wright,"Kiss The Girl - From ""The Little Mermaid""/Soundtrack Version",0.433,0.118,134.86,0.0413,0.71,0,4,0.673,0,162200,-7.806,0.753,1,Other,Children's,Disney,Empowering
Philip Glass,Metamorphosis 1,0.00107,0.0762,65.72,0.0572,0.979,0.902,3,0.272,0,387490,-29.463,0.0625,1,Classical,Contemporary Era,Minimalism,Tender
Matstubs,War,0.867,0.132,139.99,0.0438,0.00635,0.0713,4,0.637,11,251000,-6.34,0.0668,1,Electronica,Dubstep,Dubstep,Aggressive
The Bluetones,Bluetonic,0.906,0.081,138.564,0.0728,0.0314,0.113,4,0.271,0,243560,-6.452,0.321,1,Alternative & Punk,Brit Pop,Brit Pop,Brooding
Brian Eno,An Ending (Ascent),0.0962,0.0767,68.205,0.0667,0.932,0.987,3,0.304,8,261493,-25.51,0.0455,1,Electronica,"Downtempo, Lounge & Ambient",Ambient Electronica,Peaceful
Hannes Grossmann,In the Eye of the Storm,0.952,0.118,119.752,0.13,2.22E-05,0.0059,4,0.471,10,337867,-4.712,0.375,0,Rock,Metal,Heavy Metal,
Possessed,Pentagram,0.985,0.165,93.348,0.106,0.00105,0.0623,4,0.109,1,212933,-4.863,0.0338,1,Rock,Metal,Death Metal,Aggressive
Brothers Osborne,Stay A Little Longer,0.882,0.146,97.006,0.0294,0.0408,0.241,4,0.553,6,335267,-5.515,0.537,1,Traditional,Country,Contemporary Country,Empowering
Creedence Clearwater Revival,Have You Ever Seen The Rain?,0.697,0.133,116.109,0.0277,0.0664,2.28E-05,4,0.741,0,160133,-7.028,0.764,1,Rock,70's Rock,Classic Rock,Rowdy
Perfume Genius,Hood,0.278,0.162,111.316,0.0373,0.591,0.000145,3,0.329,7,120093,-12.271,0.249,1,Alternative & Punk,Indie Rock,Dream Pop,Melancholy
Youngr,Out of My System,0.656,0.0678,105.171,0.203,0.194,0.187,4,0.667,7,203167,-7.679,0.926,0,Electronica,Electronica Mainstream,Pop Electronica,Yearning
Beta Radio,White Fawn,0.288,0.112,115.725,0.0289,0.956,4.28E-05,4,0.536,10,186000,-9.212,0.117,1,Alternative & Punk,Alternative Folk,Alternative Folk,Melancholy
Dervish,Midsummer's Night,0.777,0.124,121.062,0.0383,0.791,0.00315,4,0.571,8,399813,-5.851,0.963,1,Traditional,Celtic,Celtic,
Chicago,You're The Inspiration - 2006 Remastered Version,0.602,0.22,74.008,0.0274,0.368,0,4,0.583,11,229240,-6.364,0.37,1,Rock,70's Rock,Classic Soft Rock,Empowering
John Lennon,Gimme Some Truth - 2010 - Remaster,0.783,0.0812,133.518,0.0366,0.106,0.0214,4,0.561,5,197813,-8.878,0.78,1,Pop,Western Pop,Singer-Songwriter,Upbeat
I Wayne,Living In Love,0.843,0.18,76.697,0.199,0.099,0,4,0.789,0,211302,-4.505,0.96,0,Other,Reggae,Roots Reggae,Energizing
Elvis Presley,Jailhouse Rock,0.672,0.0688,166.903,0.0637,0.314,5.03E-06,4,0.635,10,155333,-6.788,0.899,0,Rock,50's Rock,Early Rock & Roll,Lively
Steve Reich,Music for a Large Ensemble,0.444,0.103,111.803,0.0396,0.875,0.935,3,0.407,5,890827,-10.692,0.488,0,Classical,Other Classical,General Classical,Stirring
The Italian Light Orchestra,La Ragazza Con La Valigia,0.115,0.0855,120.054,0.0732,0.914,0.151,4,0.575,5,95067,-19.378,0.53,0,Classical,Other Classical,General Classical,
Seven Lions,Creation,0.852,0.2,130.017,0.41,0.00171,1.68E-05,4,0.504,9,311272,-4.897,0.364,0,Electronica,Dubstep,Dubstep,Energizing
Future,Jordan Diddy,0.47,0.632,72.53,0.111,0.00846,0,4,0.808,1,240560,-5.374,0.0661,1,Urban,Western Hip-Hop/Rap,General Hip-Hop/Rap,Defiant
Middle Kids,Edge of Town,0.8,0.0604,104.984,0.0344,0.00589,0.000373,4,0.325,1,224038,-3.891,0.285,1,Electronica,Dance & Club,Club Dance,Rowdy
Quintino,Unbroken,0.772,0.254,128.073,0.0582,0.000466,3.25E-05,4,0.567,5,185625,-4.261,0.0997,1,,,,
Clock Opera,Move To The Mountains,0.636,0.177,126.975,0.0333,0.591,0.168,4,0.41,8,264280,-6.07,0.378,1,Alternative & Punk,Alternative,Alternative Rock,Yearning
Talib Kweli,Ms. Hill,0.671,0.458,89.238,0.415,0.0505,0,4,0.479,8,224280,-8.125,0.267,0,Urban,Western Hip-Hop/Rap,Conscious Hip-Hop/Rap,Cool
FRENSHIP,Capsize,0.708,0.676,92.993,0.0304,0.042,0.14,4,0.681,5,237581,-6.019,0.359,0,Electronica,Electronica Mainstream,Pop Electronica,Excited
Mae,Embers And Envelopes,0.814,0.225,120.891,0.0505,0.125,1.36E-06,3,0.555,7,258107,-6.118,0.334,1,Other,Religious,Christian Rock & Metal,Yearning
The Strokes,Someday,0.52,0.367,106.031,0.0299,0.00425,0,4,0.538,9,183440,-7.46,0.678,1,Alternative & Punk,Garage Rock Revival,Garage Rock Revival,Brooding
The Civil Wars,Poison & Wine,0.186,0.104,153.848,0.0288,0.76,7.30E-05,4,0.285,1,219467,-12.729,0.226,1,Traditional,Country,Alternative Country,Melancholy
Donna Summer,Hot Stuff,0.727,0.049,120.492,0.0336,0.00273,0.121,4,0.806,0,400440,-13.834,0.963,1,Electronica,Disco,Disco,Defiant
Marvin Gaye,I Want You,0.793,0.262,100.697,0.0343,0.863,0.213,4,0.523,1,274400,-9.427,0.796,0,Urban,Classic R&B/Soul,Classic Soul,Fiery
Thievery Corporation,Fragments,0.738,0.338,94.017,0.0259,4.77E-05,0.767,4,0.608,2,250867,-4.134,0.564,0,Electronica,"Downtempo, Lounge & Ambient",General Downtempo,Brooding
Junior Murvin,Police & Thieves,0.512,0.156,127.157,0.0626,0.048,0,4,0.934,11,241387,-7.137,0.917,0,Other,Reggae,Roots Reggae,Fiery
Cashmere Cat,Mirror Maru,0.718,0.0981,129.956,0.0394,0.352,0.552,4,0.781,1,242133,-6.559,0.191,1,Electronica,House,U.K. Garage,Sensual
Double Exposure,Everyman,0.855,0.283,106.022,0.102,0.00963,0.000886,4,0.545,10,442667,-8.115,0.807,0,Electronica,Disco,Disco,Stirring
Kardashev,Iota,0.93,0.128,110.022,0.0857,0.000101,0.832,1,0.186,2,454225,-5.701,0.0522,1,Pop,Western Pop,Pop Vocal,Defiant
Gojira,L'Enfant Sauvage,0.995,0.364,87.803,0.185,0.000146,0.438,3,0.143,8,257733,-5.698,0.0731,1,Rock,Metal,Progressive Metal,Aggressive
MAX,Mug Shot,0.86,0.168,132.98,0.0675,0.013,0,4,0.714,4,175447,-6.671,0.623,0,Urban,Contemporary R&B/Soul,Neo-Soul,Defiant
Issues,COMA,0.976,0.0936,107.992,0.0937,0.00145,0,4,0.619,1,173760,-2.426,0.419,0,Alternative & Punk,Emo & Hardcore,Hardcore,Defiant
The Smashing Pumpkins,Cherub Rock,0.867,0.196,87.309,0.0399,5.91E-06,0.581,4,0.382,9,298253,-7.426,0.458,1,Alternative & Punk,Alternative,Alternative Rock,Aggressive
No Use For A Name,Dumb Reminders,0.933,0.391,179.73,0.0904,0.002,2.35E-06,4,0.399,2,169000,-4.761,0.784,1,Alternative & Punk,Punk,Pop Punk,Defiant
Nirvana,Tourette's - Demo / Instrumental,0.998,0.525,176.442,0.137,5.04E-05,0.819,4,0.171,5,134960,-7.137,0.0793,1,Alternative & Punk,Alternative,Grunge,Brooding
The Doors,Break On Through (To The Other Side),0.751,0.17,89.839,0.0472,0.2,0,4,0.421,9,145867,-9.584,0.778,1,Rock,60's Rock,Acid Rock,Urgent
Air Supply,All out of Love,0.41,0.381,108.235,0.0273,0.312,0.000252,4,0.543,0,224040,-10.801,0.498,1,Rock,70's Rock,Classic Pop-Rock,Empowering
Year Of No Light,Tu as fait de moi un homme meilleur,0.637,0.141,161.895,0.0389,3.38E-06,0.857,3,0.235,8,280733,-7.382,0.283,1,Rock,Metal,Doom Metal,Aggressive
Eddie Kendricks,Boogie Down - Single Version,0.639,0.122,115.342,0.0413,0.419,0.347,4,0.784,5,223427,-8.521,0.889,0,Urban,Classic R&B/Soul,Classic Soul,Fiery
Antony and the Johnsons,Hope There's Someone,0.175,0.167,139.499,0.0405,0.977,0.0218,1,0.299,6,261200,-10.318,0.0772,1,Alternative & Punk,Indie Rock,Chamber Pop,Melancholy
B.B. King,How Blue Can You Get?,0.515,0.897,110.99,0.0891,0.403,0.00188,4,0.509,2,311093,-9.029,0.596,1,Traditional,Electric Blues,General Electric Blues,Lively
The Struts,Could Have Been Me,0.814,0.28,80.014,0.0538,0.0124,0.000154,4,0.541,6,187653,-7.586,0.408,0,Alternative & Punk,Indie Rock,Neo-Glam,Urgent
Soul Asylum,Runaway Train,0.714,0.133,117.422,0.0385,0.00481,0,4,0.616,0,266067,-7.02,0.548,1,Alternative & Punk,Alternative,Alternative Rock,Empowering
Ira Wolf,One More Chance,0.183,0.132,132.46,0.0305,0.733,0.00302,3,0.439,11,253947,-12.133,0.232,1,Traditional,Country,General Country,Empowering
Showtek,Bouncer - Paul Vinx Remix Edit,0.778,0.0631,125.091,0.0447,0.246,0.936,4,0.706,6,230047,-5.78,0.521,0,,,,Energizing
Lusine,Operation Costs,0.57,0.109,99.99,0.0498,0.461,0.817,4,0.687,8,284373,-9.319,0.186,0,Electronica,"Downtempo, Lounge & Ambient",General Downtempo,Brooding
The Ritual Aura,Ectoplasm,0.991,0.215,119.994,0.172,2.83E-06,0.911,3,0.334,7,210267,-4.184,0.0391,0,Rock,Metal,Heavy Metal,Aggressive
We Are the Catalyst,One More Day,0.792,0.286,91.979,0.0336,0.000194,1.41E-06,4,0.425,4,208291,-3.457,0.271,0,Rock,Metal,Nu-Metal,Defiant
Hiatus,Third,0.305,0.102,110.007,0.0294,0.857,0.878,4,0.593,11,286253,-14.449,0.242,0,Other,Data & Other,Data & Other,Sensual
Rains,Pressure,0.895,0.238,160.076,0.0331,0.000537,0.138,4,0.495,3,212613,-3.881,0.605,0,Rock,Mainstream Rock,General Mainstream Rock,Defiant
Axel Boy,3rd degree,0.974,0.0998,128.024,0.0419,0.0107,0.294,4,0.597,1,288750,-4.905,0.407,1,Electronica,Dubstep,Dubstep,Urgent
The Chainsmokers,New York City - Dash Berlin Remix,0.739,0.219,128.022,0.0507,0.0132,0,4,0.648,4,192147,-3.465,0.207,0,Electronica,House,General House,Excited
Five Finger Death Punch,The Pride,0.987,0.231,103.98,0.122,8.96E-06,0,4,0.492,4,203813,-3.398,0.348,1,Rock,Metal,Nu-Metal,Defiant
Justin Timberlake,TKO - Black Friday Remix,0.689,0.0942,138.107,0.294,0.0264,0,4,0.685,11,272707,-4.752,0.316,1,Urban,Western Hip-Hop/Rap,General Hip-Hop/Rap,Excited
Atomic Tom,Someone to Love,0.748,0.104,89.985,0.0327,0.00514,9.98E-05,4,0.447,2,222794,-6.126,0.425,1,Alternative & Punk,Alternative,Alternative Pop,
John Lenehan,Chiquilin de Bachin (The Little Beggar Boy) (arr. J. Lenehan for 2 cellos and piano),0.0972,0.0687,97.633,0.04,0.994,0.932,4,0.168,9,230387,-19.083,0.063,0,Classical,Other Classical,Classical Solo Instrumental,
Ludwig van Beethoven,"Beethoven: Symphony No. 9 in D Minor, 'Choral', Op. 125: IV. Presto - Allegro assai",0.0249,0.432,69.528,0.0444,0.922,0.808,4,0.12,2,378907,-23.966,0.103,1,Classical,Classical Era,Classical Era Instrumental,Stirring
