artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,genre_1,genre_2,genre_3,mood_1
Allan Holdsworth,Metal Fatigue,0.595,0.03,109.951,0.0603,0.0209,0.000661,3.0,0.529,2,296194,-11.576,0.51,1,Jazz,Contemporary Jazz & Fusion,Fusion,Upbeat
A Great Big World,Say Something,0.147,0.0913,141.284,0.0355,0.857,2.89e-06,3.0,0.407,2,229400,-8.822,0.0796,1,Pop,Western Pop,Adult Alternative Pop,Melancholy
Gorgon City,Smile,0.73,0.0557,112.953,0.0597,0.049,0.00036,4.0,0.699,7,198002,-6.337,0.572,1,Electronica,House,Deep House,Brooding
Shad,Rose Garden,0.915,0.333,183.335,0.335,0.0509,1.33e-06,4.0,0.585,11,177373,-4.39,0.844,1,Urban,Western Hip-Hop/Rap,Conscious Hip-Hop/Rap,Cool
Alban Berg,"Berg: Violin Concerto, ""To the memory of an angel"": I. Allegro - Adagio",0.0496,0.112,63.717,0.0435,0.922,0.25,3.0,0.0686,5,960572,-26.192,0.0347,1,Classical,Other Classical,General Classical,Serious
Auras,The Ripple Effect,0.959,0.11,140.105,0.106,5.93e-06,0.759,4.0,0.484,1,199854,-5.007,0.608,1,Rock,Metal,Heavy Metal,Aggressive
Ashley Wallbridge,Es Vedra,0.97,0.0578,127.989,0.0439,0.00469,0.0229,4.0,0.498,1,236484,-2.95,0.337,1,Other,Meditative & Space,Meditative,Melancholy
Bruce Springsteen,Thunder Road,0.673,0.387,140.302,0.0338,0.683,3.75e-05,4.0,0.37,5,288600,-8.507,0.668,1,Rock,Mainstream Rock,General Mainstream Rock,Upbeat
KRNE,Propane,0.903,0.0434,148.035,0.0779,0.154,0.802,4.0,0.707,1,183243,-2.141,0.79,1,Electronica,House,U.K. Garage,nan
Brett Dennen,Only Want You,0.354,0.11,139.843,0.0356,0.807,4.21e-06,4.0,0.735,9,206200,-11.941,0.602,1,Pop,Western Pop,Adult Alternative Pop,Melancholy
Tortoise,Why We Fight,0.73,0.105,115.771,0.043,0.445,0.829,4.0,0.641,9,261587,-13.998,0.696,1,Alternative & Punk,Indie Rock,Post-Rock,Yearning
St. Vincent,Cruel,0.704,0.0905,115.037,0.0314,0.0104,0.446,4.0,0.57,1,214987,-8.32,0.432,1,Alternative & Punk,Alternative,Alternative Singer-Songwriter,Yearning
Aloe Blacc,Let the Games Begin,0.681,0.317,172.459,0.0419,0.0368,7.79e-05,3.0,0.224,7,222280,-7.012,0.311,1,Urban,Contemporary R&B/Soul,Neo-Soul,Yearning
George Frideric Handel,"Keyboard Concerto No. 13 in F Major, HWV 295, ""The Cuckoo and The Nightingale"": I. Larghetto",0.0324,0.0739,93.365,0.0362,0.987,0.833,3.0,0.234,5,162173,-23.913,0.137,1,Classical,Other Classical,Classical Solo Instrumental,Peaceful
Black Sabbath,The Devil Cried,0.797,0.19,121.99,0.0427,2.5e-05,6.43e-05,4.0,0.395,4,361067,-5.137,0.423,1,Rock,Metal,Classic British Metal,nan
Darkthrone,Alle Gegen Alle,0.966,0.162,151.842,0.0766,0.0107,0.765,4.0,0.113,7,201187,-4.016,0.039,1,Rock,Metal,Black Metal,Urgent
Katrina & The Waves,Walking On Sunshine,0.869,0.0678,109.902,0.037,0.0116,0.173,4.0,0.596,10,238733,-11.97,0.949,1,Alternative & Punk,New Wave Pop,New Wave Pop,Excited
Sander van Doorn,Ori Tali Ma - LVNDSCAPE Remix,0.825,0.11,110.011,0.0307,0.0148,0.318,4.0,0.679,3,261818,-5.59,0.088,1,Electronica,House,Progressive House,nan
KC & The Sunshine Band,Get Down Tonight,0.754,0.46,112.683,0.0279,0.134,0.0069,4.0,0.669,10,315745,-12.223,0.908,1,Electronica,Disco,Disco,Cool
Quasimoto,Catchin' the Vibe,0.557,0.0926,90.844,0.34,0.133,0.00261,4.0,0.904,1,163413,-6.717,0.821,1,Urban,Western Hip-Hop/Rap,Underground Hip-Hop/Rap,Cool
Gr,ar Til Eldurinn Mig Gleypir,0.908,0.0767,174.885,0.0716,8.26e-05,0.78,4.0,0.134,4,340760,-6.112,0.0466,1,Rock,Metal,Heavy Metal,Brooding
Eric Bellinger,Remind Her,0.662,0.164,107.24,0.0752,0.783,1.03e-06,4.0,0.442,8,216519,-6.514,0.659,1,Urban,Contemporary R&B/Soul,Urban Crossover,Sensual
The Bones of J.R. Jones,The Heat,0.841,0.0369,92.992,0.0802,0.144,0.000511,4.0,0.588,2,194332,-4.374,0.661,1,Traditional,Electric Blues,General Blues,Rowdy
Benjamin Frith,"Nocturne No. 18 In E Major, 'Midi'",0.0323,0.0897,97.384,0.0435,0.986,0.917,4.0,0.329,4,374227,-30.22,0.15,1,Classical,Other Classical,Classical Solo Instrumental,Tender
One Way,Cutie Pie,0.676,0.0286,102.866,0.0573,0.38,0.00129,4.0,0.873,2,325280,-5.524,0.965,1,Urban,Classic R&B/Soul,Funk,Energizing
Matstubs,War,0.867,0.132,139.99,0.0438,0.00635,0.0713,4.0,0.637,11,251000,-6.34,0.0668,1,Electronica,Dubstep,Dubstep,Aggressive
Brian Eno,An Ending (Ascent),0.0962,0.0767,68.205,0.0667,0.932,0.987,3.0,0.304,8,261493,-25.51,0.0455,1,Electronica,"Downtempo, Lounge & Ambient",Ambient Electronica,Peaceful
Possessed,Pentagram,0.985,0.165,93.348,0.106,0.00105,0.0623,4.0,0.109,1,212933,-4.863,0.0338,1,Rock,Metal,Death Metal,Aggressive
Brothers Osborne,Stay A Little Longer,0.882,0.146,97.006,0.0294,0.0408,0.241,4.0,0.553,6,335267,-5.515,0.537,1,Traditional,Country,Contemporary Country,Empowering
Perfume Genius,Hood,0.278,0.162,111.316,0.0373,0.591,0.000145,3.0,0.329,7,120093,-12.271,0.249,1,Alternative & Punk,Indie Rock,Dream Pop,Melancholy
Beta Radio,White Fawn,0.288,0.112,115.725,0.0289,0.956,4.28e-05,4.0,0.536,10,186000,-9.212,0.117,1,Alternative & Punk,Alternative Folk,Alternative Folk,Melancholy
Dervish,Midsummer's Night,0.777,0.124,121.062,0.0383,0.791,0.00315,4.0,0.571,8,399813,-5.851,0.963,1,Traditional,Celtic,Celtic,nan
John Lennon,Gimme Some Truth - 2010 - Remaster,0.783,0.0812,133.518,0.0366,0.106,0.0214,4.0,0.561,5,197813,-8.878,0.78,1,Pop,Western Pop,Singer-Songwriter,Upbeat
Middle Kids,Edge of Town,0.8,0.0604,104.984,0.0344,0.00589,0.000373,4.0,0.325,1,224038,-3.891,0.285,1,Electronica,Dance & Club,Club Dance,Rowdy
Quintino,Unbroken,0.772,0.254,128.073,0.0582,0.000466,3.25e-05,4.0,0.567,5,185625,-4.261,0.0997,1,nan,nan,nan,nan
Clock Opera,Move To The Mountains,0.636,0.177,126.975,0.0333,0.591,0.168,4.0,0.41,8,264280,-6.07,0.378,1,Alternative & Punk,Alternative,Alternative Rock,Yearning
Mae,Embers And Envelopes,0.814,0.225,120.891,0.0505,0.125,1.36e-06,3.0,0.555,7,258107,-6.118,0.334,1,Other,Religious,Christian Rock & Metal,Yearning
The Civil Wars,Poison & Wine,0.186,0.104,153.848,0.0288,0.76,7.3e-05,4.0,0.285,1,219467,-12.729,0.226,1,Traditional,Country,Alternative Country,Melancholy
Cashmere Cat,Mirror Maru,0.718,0.0981,129.956,0.0394,0.352,0.552,4.0,0.781,1,242133,-6.559,0.191,1,Electronica,House,U.K. Garage,Sensual
Kardashev,Iota,0.93,0.128,110.022,0.0857,0.000101,0.832,1.0,0.186,2,454225,-5.701,0.0522,1,Pop,Western Pop,Pop Vocal,Defiant
Gojira,L'Enfant Sauvage,0.995,0.364,87.803,0.185,0.000146,0.438,3.0,0.143,8,257733,-5.698,0.0731,1,Rock,Metal,Progressive Metal,Aggressive
The Smashing Pumpkins,Cherub Rock,0.867,0.196,87.309,0.0399,5.91e-06,0.581,4.0,0.382,9,298253,-7.426,0.458,1,Alternative & Punk,Alternative,Alternative Rock,Aggressive
No Use For A Name,Dumb Reminders,0.933,0.391,179.73,0.0904,0.002,2.35e-06,4.0,0.399,2,169000,-4.761,0.784,1,Alternative & Punk,Punk,Pop Punk,Defiant
Nirvana,Tourette's - Demo / Instrumental,0.998,0.525,176.442,0.137,5.04e-05,0.819,4.0,0.171,5,134960,-7.137,0.0793,1,Alternative & Punk,Alternative,Grunge,Brooding
Year Of No Light,Tu as fait de moi un homme meilleur,0.637,0.141,161.895,0.0389,3.38e-06,0.857,3.0,0.235,8,280733,-7.382,0.283,1,Rock,Metal,Doom Metal,Aggressive
Antony and the Johnsons,Hope There's Someone,0.175,0.167,139.499,0.0405,0.977,0.0218,1.0,0.299,6,261200,-10.318,0.0772,1,Alternative & Punk,Indie Rock,Chamber Pop,Melancholy
B.B. King,How Blue Can You Get?,0.515,0.897,110.99,0.0891,0.403,0.00188,4.0,0.509,2,311093,-9.029,0.596,1,Traditional,Electric Blues,General Electric Blues,Lively
Ira Wolf,One More Chance,0.183,0.132,132.46,0.0305,0.733,0.00302,3.0,0.439,11,253947,-12.133,0.232,1,Traditional,Country,General Country,Empowering
Axel Boy,3rd degree,0.974,0.0998,128.024,0.0419,0.0107,0.294,4.0,0.597,1,288750,-4.905,0.407,1,Electronica,Dubstep,Dubstep,Urgent
Atomic Tom,Someone to Love,0.748,0.104,89.985,0.0327,0.00514,9.98e-05,4.0,0.447,2,222794,-6.126,0.425,1,Alternative & Punk,Alternative,Alternative Pop,nan
Ludwig van Beethoven,"Beethoven: Symphony No. 9 in D Minor, 'Choral', Op. 125: IV. Presto - Allegro assai",0.0249,0.432,69.528,0.0444,0.922,0.808,4.0,0.12,2,378907,-23.966,0.103,1,Classical,Classical Era,Classical Era Instrumental,Stirring
Heitor Villa-Lobos,Rudepoema,0.161,0.0928,131.403,0.0386,0.986,0.899,4.0,0.434,2,1354707,-19.452,0.0371,1,Classical,Modern Era,Modern Era Instrumental,nan
Chris McClenney,Us,0.0978,0.0648,167.971,0.0735,0.626,0.922,4.0,0.732,7,162857,-17.203,0.654,1,Electronica,Electronica Mainstream,Pop Electronica,nan
John Heart Jackie,Skeleton Heart,0.3,0.109,108.313,0.0294,0.92,0.000614,3.0,0.39,3,206418,-11.153,0.213,1,Alternative & Punk,Alternative Folk,Alternative Folk,Sentimental
Amy Winehouse,Back To Black,0.74,0.0858,123.45,0.0398,0.155,5.64e-06,4.0,0.5,10,240440,-3.317,0.321,1,Urban,Classic R&B/Soul,R&B/Soul,Yearning
Ray LaMontagne,"Part One - Hey, No Pressure",0.748,0.102,151.265,0.0522,0.11,0.000273,4.0,0.434,1,394200,-7.707,0.702,1,Alternative & Punk,Alternative,Alternative Singer-Songwriter,Brooding
OneRepublic,Future Looks Good,0.551,0.115,78.448,0.0429,0.194,9.28e-06,3.0,0.33,10,210667,-7.921,0.552,1,Pop,Western Pop,Adult Alternative Pop,Brooding
Vallenfyre,Scabs,0.976,0.554,114.215,0.0756,1.1e-06,0.817,4.0,0.323,1,216080,-3.866,0.155,1,Rock,Metal,Death Metal,Aggressive
Philip Glass,Akhnaten: Prelude,0.0269,0.113,132.574,0.0483,0.974,0.965,4.0,0.263,5,736173,-25.824,0.172,1,Classical,Other Classical,General Classical,nan
LISTENBEE,Nottamun Town (Mahalo Remix),0.921,0.0805,120.009,0.0458,0.0566,0.187,4.0,0.697,1,358094,-5.238,0.674,1,nan,nan,nan,Fiery
Cody Jinks,I'm Not the Devil,0.51,0.119,118.019,0.0261,0.113,0.000529,3.0,0.591,1,215621,-6.457,0.213,1,Traditional,Classic Country,Texas Country,Empowering
Robert Schumann,"Kinderszenen, Op.15: 10. Fast zu ernst",0.0172,0.0981,87.464,0.0435,0.993,0.803,4.0,0.442,11,92667,-27.863,0.081,1,Classical,Other Classical,Classical Solo Instrumental,Tender
Nelly,Over And Over - Album Version / Explicit,0.518,0.158,169.799,0.0805,0.00646,1.33e-06,4.0,0.644,7,253933,-10.02,0.466,1,Urban,Contemporary R&B/Soul,Urban Crossover,Sensual
Grandmaster Flash,White Lines,0.701,0.132,114.998,0.0376,0.0103,0.00775,4.0,0.814,7,465048,-7.525,0.788,1,Urban,Western Hip-Hop/Rap,Old School Hip-Hop/Rap,Fiery
PJ Harvey,Down By The Water,0.63,0.337,125.154,0.0403,0.00144,0.19,4.0,0.627,9,194533,-12.33,0.324,1,Alternative & Punk,Alternative,Alternative Singer-Songwriter,Brooding
Deftones,When Girls Telephone Boys,0.982,0.331,81.75,0.31,1.36e-05,0.792,4.0,0.18,5,276400,-4.691,0.0656,1,Rock,Metal,Nu-Metal,Aggressive
Goodbye June,Man Of The Moment,0.901,0.131,155.953,0.14,0.0223,0.00121,4.0,0.385,1,192929,-4.137,0.304,1,Rock,Mainstream Rock,General Mainstream Rock,Defiant
Kool & The Gang,Jungle Boogie,0.813,0.34,106.943,0.0969,0.138,3.16e-05,4.0,0.79,5,184933,-10.553,0.663,1,Urban,Classic R&B/Soul,Funk,Energizing
Blind Lemon Jefferson,Match Box Blues,0.16,0.0808,82.769,0.0565,0.976,0.0126,4.0,0.483,10,185318,-19.05,0.531,1,Traditional,Acoustic Blues,Country Blues,Easygoing
Rick James,Give It To Me Baby,0.726,0.095,119.891,0.0495,0.0529,0.000407,4.0,0.775,11,247133,-6.731,0.936,1,Urban,Classic R&B/Soul,Funk,Energizing
Ernst Toch,"Symphony No. 7, Op. 95: I. Molto lento",0.0335,0.125,139.111,0.0417,0.951,0.654,4.0,0.215,2,464373,-27.184,0.0448,1,Classical,Modern Era,Modern Era Instrumental,Serious
Yo La Tengo,I'll Be Around,0.328,0.114,104.26,0.0385,0.733,0.89,4.0,0.329,7,287107,-12.02,0.0746,1,Alternative & Punk,Indie Rock,General Indie Rock,Yearning
Title Fight,Head in the Ceiling Fan,0.444,0.132,120.864,0.0382,0.0744,0.157,4.0,0.461,9,239547,-7.338,0.0727,1,Alternative & Punk,Emo & Hardcore,Hardcore,Brooding
Jodeci,Lately,0.317,0.945,125.919,0.0569,0.666,1.27e-06,4.0,0.385,1,373627,-12.71,0.315,1,Urban,Contemporary R&B/Soul,Urban AC,Sophisticated
Yo Gotti,King Sh*t,0.741,0.104,156.008,0.219,0.0103,0.000148,4.0,0.878,11,211187,-3.908,0.643,1,Urban,Western Hip-Hop/Rap,Southern Rap,nan
Lena Horne,I want a little doggie,0.86,0.064,130.021,0.042,0.0276,0.113,4.0,0.907,2,206800,-5.693,0.966,1,Pop,Classic Pop Vocals,Classic Female Vocal Pop,Gritty
Antonio Giacca,Sensation - Radio Mix,0.917,0.0461,123.033,0.0572,0.14,0.53,4.0,0.71,6,197134,-4.652,0.407,1,Electronica,House,Progressive House,Energizing
Allan Pettersson,Symphony No. 7,0.0576,0.0841,88.956,0.0393,0.8,0.65,4.0,0.107,6,2675960,-25.224,0.0339,1,Classical,Other Classical,General Classical,nan
John Coltrane,Blues To Elvin,0.228,0.0594,110.501,0.0348,0.641,0.0596,3.0,0.555,8,470667,-15.155,0.271,1,Jazz,Bebop & Modern Jazz,Post-Bop,Sentimental
Roy Hargrove,Ruby My Dear,0.195,0.106,133.918,0.0331,0.9,0.709,4.0,0.412,8,372493,-10.288,0.0764,1,Jazz,Bebop & Modern Jazz,Post-Bop,Sentimental
Wolfgang Amadeus Mozart,"Piano Quintet in E-Flat Major, K. 452: I. Largo - Allegro moderato",0.0295,0.101,75.063,0.041,0.994,0.9,4.0,0.328,3,618013,-25.576,0.224,1,Classical,Other Classical,General Classical,Tender
Kaija Saariaho,"L'Amour de loin: Premier acte. Deuxime tableau : Le Plerin. Le Plerin : ""Peut-tre bien qu'elle n'existe pas""",0.108,0.177,91.16,0.0439,0.886,0.00056,3.0,0.285,2,333907,-24.657,0.072,1,Classical,Other Classical,General Classical,nan
The Black Keys,Howlin' For You,0.735,0.112,132.627,0.0931,0.028,0.0783,4.0,0.705,11,191800,-6.646,0.436,1,Alternative & Punk,Garage Rock Revival,Garage Rock Revival,Aggressive
John Mayer,Wildfire,0.665,0.144,96.999,0.0331,0.15,0.00092,4.0,0.719,8,253493,-8.589,0.769,1,Rock,Adult Alternative Rock,Adult Alternative Rock,Stirring
Frdric Chopin,"Mazurka in E Minor, Op. 41 No. 2",0.017,0.061,76.726,0.0812,0.995,0.893,1.0,0.442,4,215227,-24.902,0.0374,1,Classical,Other Classical,Classical Solo Instrumental,Tender
Look and Listen,Wake Up,0.896,0.103,145.519,0.0341,0.0263,0.00673,4.0,0.496,8,242747,-1.785,0.884,1,Rock,Mainstream Rock,General Mainstream Rock,nan
Lamb of God,512,0.97,0.0875,192.277,0.126,1.6e-05,0.0833,4.0,0.162,1,284840,-4.638,0.115,1,Rock,Metal,Thrash Metal,Aggressive
Elvis Costello & The Attractions,Pump It Up,0.785,0.101,138.977,0.0398,0.0123,0.00039,4.0,0.646,4,196680,-5.914,0.966,1,Alternative & Punk,New Wave Rock,New Wave Rock,Brooding
Sashamon,Necta (Butterfly),0.528,0.0613,144.118,0.0862,0.107,0.00158,4.0,0.887,7,305987,-7.59,0.743,1,Pop,Western Pop,World Pop Fusion,Sensual
Seeker,Throat,0.951,0.173,107.56,0.0654,6.65e-06,0.949,4.0,0.437,7,132347,-5.748,0.0321,1,Rock,70's Rock,Classic Prog,Brooding
Don Diablo,What We Started,0.847,0.147,89.915,0.109,0.223,0.00019,4.0,0.36,11,203000,-3.931,0.477,1,Electronica,House,General House,Empowering
Feed Me,One Click Headshot - Original Mix,0.91,0.35,109.988,0.063,0.000364,0.00842,4.0,0.677,2,287004,-4.628,0.502,1,Electronica,House,General House,Energizing
Veil Of Maya,Phoenix,0.991,0.286,149.979,0.216,0.000129,1.13e-05,1.0,0.518,11,199457,-2.73,0.109,1,Rock,Metal,Progressive Metal,Aggressive
Sheryl Crow,If It Makes You Happy,0.751,0.107,190.941,0.0329,0.04,9.9e-05,4.0,0.385,7,319907,-5.051,0.307,1,Rock,Adult Alternative Rock,Adult Alternative Rock,Upbeat
Bahamadia,Uknowhowwedu,0.596,0.276,185.733,0.388,0.641,2.16e-05,4.0,0.534,6,214867,-10.289,0.91,1,Urban,Western Hip-Hop/Rap,Conscious Hip-Hop/Rap,Sensual
Morphologue,Reflect,0.679,0.28,120.008,0.032,0.00106,0.913,4.0,0.62,9,174640,-7.735,0.346,1,Electronica,Dance & Club,Club Dance,Defiant
James Horner,Legends Of The Fall,0.0313,0.0984,110.028,0.0371,0.897,0.944,5.0,0.164,2,256733,-28.301,0.0356,1,Soundtrack,Original Film/TV Music,General Film Music,Peaceful
Gustav Mahler,"Rckert-Lieder: No. 3, Ich bin der Welt abhanden gekommen",0.0532,0.087,80.155,0.0425,0.976,0.0489,4.0,0.0924,5,422000,-26.04,0.036,1,Classical,Romantic Era,Romantic Era Instrumental,Peaceful
Elton John,Circle Of Life,0.539,0.112,160.544,0.0345,0.261,0.213,4.0,0.301,10,290680,-9.732,0.151,1,Pop,Western Pop,Singer-Songwriter,Empowering
Carl Friedrich Abel,"Keyboard Sonata No. 5 with accompanying Violin and Cello in G Major, Op. 2, WKO 115: I. Vivace",0.161,0.115,117.787,0.0419,0.748,1.01e-05,4.0,0.26,1,308213,-18.044,0.254,1,Classical,Classical Era,Classical Era Instrumental,Somber
Elmore James,Standing At The Crossroads,0.765,0.244,99.617,0.0331,0.315,0.000246,4.0,0.632,7,178907,-4.577,0.96,1,Traditional,Electric Blues,Slide Guitar Blues,Lively
Above & Beyond,Peace Of Mind - Arty Remix,0.835,0.111,128.009,0.204,0.00132,0.00161,4.0,0.521,5,301916,-6.937,0.0707,1,Electronica,Trance,Trance,Excited
Michael Jackson,Ben - Single Version,0.236,0.0977,136.769,0.0282,0.883,0.000981,4.0,0.4,5,166240,-8.695,0.303,1,Urban,Contemporary R&B/Soul,Pop Soul,nan
Marit Larsen,"Morgan, I might",0.216,0.115,93.895,0.0268,0.897,2.71e-05,4.0,0.446,11,197193,-8.964,0.346,1,Pop,Western Pop,Adult Alternative Pop,Empowering
Ludwig van Beethoven,"Piano Concerto No.5 in E flat major Op.73 -""Emperor"": 3. Rondo (Allegro)",0.164,0.0956,128.416,0.036,0.985,0.894,4.0,0.403,3,641067,-20.547,0.189,1,Classical,Other Classical,Classical Solo Instrumental,Stirring
Luigi Boccherini,"Divertimento notturno in G Major, Op. 41, G. 470: II. Minuetto",0.08,0.0849,176.101,0.0469,0.981,0.855,3.0,0.318,2,381307,-16.22,0.239,1,Classical,Classical Era,Classical Era Instrumental,Tender
Define Light,Elsewhere,0.828,0.072,127.997,0.0634,0.0128,0.788,4.0,0.684,2,296250,-6.423,0.216,1,nan,nan,nan,Excited
Lee Morgan,The Sidewinder - 1999 - Remaster,0.67,0.0957,152.484,0.0353,0.446,3.15e-06,4.0,0.473,8,625293,-7.756,0.807,1,Jazz,Bebop & Modern Jazz,Hard Bop,nan
Will Lamartine Thompson,There's a Great Day Coming for Six Trumpets,0.174,0.0895,167.77,0.0431,0.984,0.931,4.0,0.295,3,205600,-18.161,0.291,1,Classical,Other Classical,Other Classical Instrumental,nan
Gavin James,Nervous,0.687,0.124,82.812,0.0456,0.383,6.08e-05,4.0,0.405,7,216133,-10.08,0.157,1,Alternative & Punk,Alternative Folk,Alternative Folk,Gritty
Frdric Chopin,Scherzos: No. 2 in B flat minor Op. 31 - Presto,0.0847,0.103,131.392,0.0421,0.988,0.897,4.0,0.382,1,587053,-21.505,0.0642,1,Classical,Other Classical,Classical Solo Instrumental,nan
Leo Brouwer,Zapateo,0.14,0.128,153.694,0.0435,0.986,0.896,3.0,0.285,9,138920,-26.053,0.293,1,Classical,Other Classical,Classical Solo Instrumental,Peaceful
Pryda,Rebel XX,0.883,0.0925,125.998,0.0633,0.00282,0.864,4.0,0.603,7,519376,-9.999,0.333,1,Electronica,House,General House,nan
Bossk,Heliopause,0.696,0.613,112.004,0.048,0.00121,0.965,4.0,0.412,6,224197,-8.51,0.159,1,Rock,Metal,Doom Metal,Defiant
Yvonne Fair,It Should Have Been Me,0.536,0.437,181.502,0.126,0.359,0.0001,4.0,0.663,10,204520,-6.398,0.766,1,Urban,Classic R&B/Soul,Deep Soul,Easygoing
Drake,Hotline Bling,0.639,0.0382,134.963,0.0549,0.00226,0.000315,4.0,0.893,2,267024,-7.857,0.582,1,Urban,Western Hip-Hop/Rap,General Hip-Hop/Rap,nan
Phill Niblock,Hurdy Hurry,0.31,0.0845,73.914,0.0388,0.754,0.944,3.0,0.149,2,933467,-12.275,0.037,1,Rock,Mainstream Rock,General Mainstream Rock,Somber
John Coltrane,The Invisible,0.265,0.115,143.339,0.181,0.243,0.0102,4.0,0.564,8,251400,-12.12,0.618,1,Jazz,Bebop & Modern Jazz,Post-Bop,nan
Destruction,Trash 'Til Death,0.988,0.255,188.611,0.0848,4.03e-06,0.00569,4.0,0.145,1,263573,-3.098,0.27,1,Rock,Metal,Thrash Metal,Aggressive
Grabbitz,7.6.14 (Intro),0.129,0.161,53.507,0.0332,0.652,0.833,3.0,0.177,10,61712,-19.714,0.0363,1,Electronica,Dubstep,Dubstep,Peaceful
Nari & Milani,The Creeps 2016,0.977,0.603,128.086,0.0517,0.00561,0.75,4.0,0.759,4,146719,-3.363,0.847,1,Electronica,House,General House,Aggressive
Hans Theessink,Walking the dog,0.165,0.111,113.221,0.0584,0.419,2.92e-06,4.0,0.837,2,251093,-10.946,0.428,1,Traditional,Acoustic Blues,General Acoustic Blues,Gritty
No Doubt,Just A Girl,0.93,0.134,108.012,0.056,0.0944,0.000317,4.0,0.634,2,205947,-2.793,0.706,1,Alternative & Punk,Alternative,Alternative Pop,Urgent
Wolfgang Amadeus Mozart,"Don Giovanni: Atto Secundo, Scena 15: ""Don Giovanni, a cenar teco""",0.37,0.117,100.615,0.0535,0.964,0.345,4.0,0.299,10,315360,-12.941,0.133,1,Classical,Classical Era,Classical Era Instrumental,Serious
Jack,Where Are  Now (with Justin Bieber) - Marshmello Remix,0.863,0.127,141.919,0.0424,0.00266,0.000307,4.0,0.572,8,206197,-4.128,0.487,1,Pop,Western Pop,Pop Vocal,Sensual
Throes Of Dawn,Our Voices Shall Remain,0.788,0.0977,90.999,0.0314,8.96e-05,0.783,4.0,0.472,3,395246,-7.457,0.329,1,Rock,Metal,Heavy Metal,nan
Whitney Houston,My Love Is Your Love,0.47,0.0628,82.505,0.158,0.054,5.14e-06,4.0,0.769,7,261573,-9.526,0.482,1,Urban,Contemporary R&B/Soul,Urban AC,Sensual
Message To Bears,Mountains,0.572,0.0921,110.031,0.0265,0.64,0.56,4.0,0.569,6,234000,-11.363,0.669,1,Electronica,Electronica Fusion,Ethno-Lounge Electronica,Sophisticated
