artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,mood_1
Tortoise,Why We Fight,0.73,0.105,115.771,0.043,0.445,0.829,4,0.641,9,261587,-13.998,0.696,1,Yearning
St. Vincent,Cruel,0.704,0.0905,115.037,0.0314,0.0104,0.446,4,0.57,1,214987,-8.32,0.432,1,Yearning
Aloe Blacc,Let the Games Begin,0.681,0.317,172.459,0.0419,0.0368,7.79E-05,3,0.224,7,222280,-7.012,0.311,1,Yearning
George Frideric Handel,"Keyboard Concerto No. 13 in F Major, HWV 295, ""The Cuckoo and The Nightingale"": I. Larghetto",0.0324,0.0739,93.365,0.0362,0.987,0.833,3,0.234,5,162173,-23.913,0.137,1,Peaceful
Darkthrone,Alle Gegen Alle,0.966,0.162,151.842,0.0766,0.0107,0.765,4,0.113,7,201187,-4.016,0.039,1,Energetic
Katrina & The Waves,Walking On Sunshine,0.869,0.0678,109.902,0.037,0.0116,0.173,4,0.596,10,238733,-11.97,0.949,1,Excited
KC & The Sunshine Band,Get Down Tonight,0.754,0.46,112.683,0.0279,0.134,0.0069,4,0.669,10,315745,-12.223,0.908,1,Cool
Quasimoto,Catchin' the Vibe,0.557,0.0926,90.844,0.34,0.133,0.00261,4,0.904,1,163413,-6.717,0.821,1,Cool
Gr,ar Til Eldurinn Mig Gleypir,0.908,0.0767,174.885,0.0716,8.26E-05,0.78,4,0.134,4,340760,-6.112,0.0466,1,Sad
Eric Bellinger,Remind Her,0.662,0.164,107.24,0.0752,0.783,1.03E-06,4,0.442,8,216519,-6.514,0.659,1,Sensual
The Bones of J.R. Jones,The Heat,0.841,0.0369,92.992,0.0802,0.144,0.000511,4,0.588,2,194332,-4.374,0.661,1,Energetic
Benjamin Frith,"Nocturne No. 18 In E Major, 'Midi'",0.0323,0.0897,97.384,0.0435,0.986,0.917,4,0.329,4,374227,-30.22,0.15,1,Tender
One Way,Cutie Pie,0.676,0.0286,102.866,0.0573,0.38,0.00129,4,0.873,2,325280,-5.524,0.965,1,Energetic
Matstubs,War,0.867,0.132,139.99,0.0438,0.00635,0.0713,4,0.637,11,251000,-6.34,0.0668,1,Aggressive
Brian Eno,An Ending (Ascent),0.0962,0.0767,68.205,0.0667,0.932,0.987,3,0.304,8,261493,-25.51,0.0455,1,Peaceful
Possessed,Pentagram,0.985,0.165,93.348,0.106,0.00105,0.0623,4,0.109,1,212933,-4.863,0.0338,1,Aggressive
Brothers Osborne,Stay A Little Longer,0.882,0.146,97.006,0.0294,0.0408,0.241,4,0.553,6,335267,-5.515,0.537,1,Energetic
Perfume Genius,Hood,0.278,0.162,111.316,0.0373,0.591,0.000145,3,0.329,7,120093,-12.271,0.249,1,Sad
Beta Radio,White Fawn,0.288,0.112,115.725,0.0289,0.956,4.28E-05,4,0.536,10,186000,-9.212,0.117,1,Sad
John Lennon,Gimme Some Truth - 2010 - Remaster,0.783,0.0812,133.518,0.0366,0.106,0.0214,4,0.561,5,197813,-8.878,0.78,1,Energetic
Middle Kids,Edge of Town,0.8,0.0604,104.984,0.0344,0.00589,0.000373,4,0.325,1,224038,-3.891,0.285,1,Energetic
Clock Opera,Move To The Mountains,0.636,0.177,126.975,0.0333,0.591,0.168,4,0.41,8,264280,-6.07,0.378,1,Yearning
Mae,Embers And Envelopes,0.814,0.225,120.891,0.0505,0.125,1.36E-06,3,0.555,7,258107,-6.118,0.334,1,Yearning
The Civil Wars,Poison & Wine,0.186,0.104,153.848,0.0288,0.76,7.30E-05,4,0.285,1,219467,-12.729,0.226,1,Sad
Cashmere Cat,Mirror Maru,0.718,0.0981,129.956,0.0394,0.352,0.552,4,0.781,1,242133,-6.559,0.191,1,Sensual
Kardashev,Iota,0.93,0.128,110.022,0.0857,0.000101,0.832,1,0.186,2,454225,-5.701,0.0522,1,Defiant
Gojira,L'Enfant Sauvage,0.995,0.364,87.803,0.185,0.000146,0.438,3,0.143,8,257733,-5.698,0.0731,1,Aggressive
The Smashing Pumpkins,Cherub Rock,0.867,0.196,87.309,0.0399,5.91E-06,0.581,4,0.382,9,298253,-7.426,0.458,1,Aggressive
No Use For A Name,Dumb Reminders,0.933,0.391,179.73,0.0904,0.002,2.35E-06,4,0.399,2,169000,-4.761,0.784,1,Defiant
Nirvana,Tourette's - Demo / Instrumental,0.998,0.525,176.442,0.137,5.04E-05,0.819,4,0.171,5,134960,-7.137,0.0793,1,Sad
Year Of No Light,Tu as fait de moi un homme meilleur,0.637,0.141,161.895,0.0389,3.38E-06,0.857,3,0.235,8,280733,-7.382,0.283,1,Aggressive
Antony and the Johnsons,Hope There's Someone,0.175,0.167,139.499,0.0405,0.977,0.0218,1,0.299,6,261200,-10.318,0.0772,1,Sad
B.B. King,How Blue Can You Get?,0.515,0.897,110.99,0.0891,0.403,0.00188,4,0.509,2,311093,-9.029,0.596,1,Energetic
Ira Wolf,One More Chance,0.183,0.132,132.46,0.0305,0.733,0.00302,3,0.439,11,253947,-12.133,0.232,1,Energetic
Axel Boy,3rd degree,0.974,0.0998,128.024,0.0419,0.0107,0.294,4,0.597,1,288750,-4.905,0.407,1,Energetic
Ludwig van Beethoven,"Beethoven: Symphony No. 9 in D Minor, 'Choral', Op. 125: IV. Presto - Allegro assai",0.0249,0.432,69.528,0.0444,0.922,0.808,4,0.12,2,378907,-23.966,0.103,1,Stirring
John Heart Jackie,Skeleton Heart,0.3,0.109,108.313,0.0294,0.92,0.000614,3,0.39,3,206418,-11.153,0.213,1,Sentimental
Amy Winehouse,Back To Black,0.74,0.0858,123.45,0.0398,0.155,5.64E-06,4,0.5,10,240440,-3.317,0.321,1,Yearning
Ray LaMontagne,"Part One - Hey, No Pressure",0.748,0.102,151.265,0.0522,0.11,0.000273,4,0.434,1,394200,-7.707,0.702,1,Sad
OneRepublic,Future Looks Good,0.551,0.115,78.448,0.0429,0.194,9.28E-06,3,0.33,10,210667,-7.921,0.552,1,Sad
Vallenfyre,Scabs,0.976,0.554,114.215,0.0756,1.10E-06,0.817,4,0.323,1,216080,-3.866,0.155,1,Aggressive
Cody Jinks,I'm Not the Devil,0.51,0.119,118.019,0.0261,0.113,0.000529,3,0.591,1,215621,-6.457,0.213,1,Energetic
Robert Schumann,"Kinderszenen, Op.15: 10. Fast zu ernst",0.0172,0.0981,87.464,0.0435,0.993,0.803,4,0.442,11,92667,-27.863,0.081,1,Tender
Nelly,Over And Over - Album Version / Explicit,0.518,0.158,169.799,0.0805,0.00646,1.33E-06,4,0.644,7,253933,-10.02,0.466,1,Sensual
Grandmaster Flash,White Lines,0.701,0.132,114.998,0.0376,0.0103,0.00775,4,0.814,7,465048,-7.525,0.788,1,Energetic
PJ Harvey,Down By The Water,0.63,0.337,125.154,0.0403,0.00144,0.19,4,0.627,9,194533,-12.33,0.324,1,Sad
Deftones,When Girls Telephone Boys,0.982,0.331,81.75,0.31,1.36E-05,0.792,4,0.18,5,276400,-4.691,0.0656,1,Aggressive
Goodbye June,Man Of The Moment,0.901,0.131,155.953,0.14,0.0223,0.00121,4,0.385,1,192929,-4.137,0.304,1,Defiant
Kool & The Gang,Jungle Boogie,0.813,0.34,106.943,0.0969,0.138,3.16E-05,4,0.79,5,184933,-10.553,0.663,1,Energetic
Blind Lemon Jefferson,Match Box Blues,0.16,0.0808,82.769,0.0565,0.976,0.0126,4,0.483,10,185318,-19.05,0.531,1,Easygoing
Rick James,Give It To Me Baby,0.726,0.095,119.891,0.0495,0.0529,0.000407,4,0.775,11,247133,-6.731,0.936,1,Energetic
Ernst Toch,"Symphony No. 7, Op. 95: I. Molto lento",0.0335,0.125,139.111,0.0417,0.951,0.654,4,0.215,2,464373,-27.184,0.0448,1,Serious
Yo La Tengo,I'll Be Around,0.328,0.114,104.26,0.0385,0.733,0.89,4,0.329,7,287107,-12.02,0.0746,1,Yearning
Title Fight,Head in the Ceiling Fan,0.444,0.132,120.864,0.0382,0.0744,0.157,4,0.461,9,239547,-7.338,0.0727,1,Sad
Jodeci,Lately,0.317,0.945,125.919,0.0569,0.666,1.27E-06,4,0.385,1,373627,-12.71,0.315,1,Sophisticated
Lena Horne,I want a little doggie,0.86,0.064,130.021,0.042,0.0276,0.113,4,0.907,2,206800,-5.693,0.966,1,Gritty
Antonio Giacca,Sensation - Radio Mix,0.917,0.0461,123.033,0.0572,0.14,0.53,4,0.71,6,197134,-4.652,0.407,1,Energetic
John Coltrane,Blues To Elvin,0.228,0.0594,110.501,0.0348,0.641,0.0596,3,0.555,8,470667,-15.155,0.271,1,Sentimental
Roy Hargrove,Ruby My Dear,0.195,0.106,133.918,0.0331,0.9,0.709,4,0.412,8,372493,-10.288,0.0764,1,Sentimental
Wolfgang Amadeus Mozart,"Piano Quintet in E-Flat Major, K. 452: I. Largo - Allegro moderato",0.0295,0.101,75.063,0.041,0.994,0.9,4,0.328,3,618013,-25.576,0.224,1,Tender
The Black Keys,Howlin' For You,0.735,0.112,132.627,0.0931,0.028,0.0783,4,0.705,11,191800,-6.646,0.436,1,Aggressive
John Mayer,Wildfire,0.665,0.144,96.999,0.0331,0.15,0.00092,4,0.719,8,253493,-8.589,0.769,1,Stirring
Frdric Chopin,"Mazurka in E Minor, Op. 41 No. 2",0.017,0.061,76.726,0.0812,0.995,0.893,1,0.442,4,215227,-24.902,0.0374,1,Tender
Lamb of God,512,0.97,0.0875,192.277,0.126,1.60E-05,0.0833,4,0.162,1,284840,-4.638,0.115,1,Aggressive
Elvis Costello & The Attractions,Pump It Up,0.785,0.101,138.977,0.0398,0.0123,0.00039,4,0.646,4,196680,-5.914,0.966,1,Sad
Sashamon,Necta (Butterfly),0.528,0.0613,144.118,0.0862,0.107,0.00158,4,0.887,7,305987,-7.59,0.743,1,Sensual
Seeker,Throat,0.951,0.173,107.56,0.0654,6.65E-06,0.949,4,0.437,7,132347,-5.748,0.0321,1,Sad
Don Diablo,What We Started,0.847,0.147,89.915,0.109,0.223,0.00019,4,0.36,11,203000,-3.931,0.477,1,Energetic
Feed Me,One Click Headshot - Original Mix,0.91,0.35,109.988,0.063,0.000364,0.00842,4,0.677,2,287004,-4.628,0.502,1,Energetic
Veil Of Maya,Phoenix,0.991,0.286,149.979,0.216,0.000129,1.13E-05,1,0.518,11,199457,-2.73,0.109,1,Aggressive
Sheryl Crow,If It Makes You Happy,0.751,0.107,190.941,0.0329,0.04,9.90E-05,4,0.385,7,319907,-5.051,0.307,1,Energetic
Bahamadia,Uknowhowwedu,0.596,0.276,185.733,0.388,0.641,2.16E-05,4,0.534,6,214867,-10.289,0.91,1,Sensual
Morphologue,Reflect,0.679,0.28,120.008,0.032,0.00106,0.913,4,0.62,9,174640,-7.735,0.346,1,Defiant
James Horner,Legends Of The Fall,0.0313,0.0984,110.028,0.0371,0.897,0.944,5,0.164,2,256733,-28.301,0.0356,1,Peaceful
Gustav Mahler,"Rckert-Lieder: No. 3, Ich bin der Welt abhanden gekommen",0.0532,0.087,80.155,0.0425,0.976,0.0489,4,0.0924,5,422000,-26.04,0.036,1,Peaceful
Elton John,Circle Of Life,0.539,0.112,160.544,0.0345,0.261,0.213,4,0.301,10,290680,-9.732,0.151,1,Energetic
Carl Friedrich Abel,"Keyboard Sonata No. 5 with accompanying Violin and Cello in G Major, Op. 2, WKO 115: I. Vivace",0.161,0.115,117.787,0.0419,0.748,1.01E-05,4,0.26,1,308213,-18.044,0.254,1,Sad
Elmore James,Standing At The Crossroads,0.765,0.244,99.617,0.0331,0.315,0.000246,4,0.632,7,178907,-4.577,0.96,1,Energetic
Above & Beyond,Peace Of Mind - Arty Remix,0.835,0.111,128.009,0.204,0.00132,0.00161,4,0.521,5,301916,-6.937,0.0707,1,Excited
Marit Larsen,"Morgan, I might",0.216,0.115,93.895,0.0268,0.897,2.71E-05,4,0.446,11,197193,-8.964,0.346,1,Energetic
Ludwig van Beethoven,"Piano Concerto No.5 in E flat major Op.73 -""Emperor"": 3. Rondo (Allegro)",0.164,0.0956,128.416,0.036,0.985,0.894,4,0.403,3,641067,-20.547,0.189,1,Stirring
Luigi Boccherini,"Divertimento notturno in G Major, Op. 41, G. 470: II. Minuetto",0.08,0.0849,176.101,0.0469,0.981,0.855,3,0.318,2,381307,-16.22,0.239,1,Tender
Gavin James,Nervous,0.687,0.124,82.812,0.0456,0.383,6.08E-05,4,0.405,7,216133,-10.08,0.157,1,Gritty
Leo Brouwer,Zapateo,0.14,0.128,153.694,0.0435,0.986,0.896,3,0.285,9,138920,-26.053,0.293,1,Peaceful
Bossk,Heliopause,0.696,0.613,112.004,0.048,0.00121,0.965,4,0.412,6,224197,-8.51,0.159,1,Defiant
Yvonne Fair,It Should Have Been Me,0.536,0.437,181.502,0.126,0.359,0.0001,4,0.663,10,204520,-6.398,0.766,1,Easygoing
Phill Niblock,Hurdy Hurry,0.31,0.0845,73.914,0.0388,0.754,0.944,3,0.149,2,933467,-12.275,0.037,1,Sad
Destruction,Trash 'Til Death,0.988,0.255,188.611,0.0848,4.03E-06,0.00569,4,0.145,1,263573,-3.098,0.27,1,Aggressive
Grabbitz,7.6.14 (Intro),0.129,0.161,53.507,0.0332,0.652,0.833,3,0.177,10,61712,-19.714,0.0363,1,Peaceful
Nari & Milani,The Creeps 2016,0.977,0.603,128.086,0.0517,0.00561,0.75,4,0.759,4,146719,-3.363,0.847,1,Aggressive
Hans Theessink,Walking the dog,0.165,0.111,113.221,0.0584,0.419,2.92E-06,4,0.837,2,251093,-10.946,0.428,1,Gritty
No Doubt,Just A Girl,0.93,0.134,108.012,0.056,0.0944,0.000317,4,0.634,2,205947,-2.793,0.706,1,Energetic
Wolfgang Amadeus Mozart,"Don Giovanni: Atto Secundo, Scena 15: ""Don Giovanni, a cenar teco""",0.37,0.117,100.615,0.0535,0.964,0.345,4,0.299,10,315360,-12.941,0.133,1,Serious
Jack,Where Are  Now (with Justin Bieber) - Marshmello Remix,0.863,0.127,141.919,0.0424,0.00266,0.000307,4,0.572,8,206197,-4.128,0.487,1,Sensual
Whitney Houston,My Love Is Your Love,0.47,0.0628,82.505,0.158,0.054,5.14E-06,4,0.769,7,261573,-9.526,0.482,1,Sensual
Message To Bears,Mountains,0.572,0.0921,110.031,0.0265,0.64,0.56,4,0.569,6,234000,-11.363,0.669,1,Sophisticated
ABBA,If It Wasn't For The Nights,0.876,0.143,105.619,0.0393,0.331,0.000945,4,0.704,9,311000,-4.606,0.881,1,Excited
Kings of Leon,Wait for Me,0.624,0.122,116.723,0.0329,0.0263,0.00223,4,0.488,9,210133,-8.357,0.295,1,Yearning
Jah Shaka & Mad Professor,Satta Dub,0.367,0.216,131.07,0.0418,0.00676,0.828,4,0.67,11,278962,-15.957,0.32,1,Sensual
Carl Stamitz,Cello Concerto No. 1 in G Major: II. Romance: Andantino,0.0414,0.107,91.276,0.0476,0.986,0.873,3,0.141,10,323000,-28.163,0.0621,1,Peaceful
Franz Liszt,"Annes de Plegrinage / Prmiere Anne: Suisse, S. 160: II. Au lac de Wallenstadt (At Lake Wallenstadt)",0.00563,0.115,67.351,0.0374,0.993,0.882,4,0.327,8,171853,-36.248,0.0465,1,Tender
Primal Scream,Movin' on Up,0.921,0.07,94.274,0.0361,0.102,0.00111,4,0.525,5,224587,-5.7,0.48,1,Energetic
Alvaro,VEGAS,0.989,0.188,129.871,0.092,0.00448,0.512,4,0.545,9,181562,-3.532,0.199,1,Sensual
Agnes Obel,Familiar,0.419,0.108,137.412,0.0306,0.921,0.0202,4,0.564,4,235989,-12.254,0.23,1,Sad
Wolfgang Amadeus Mozart,"Piano Sonata No.3 in B flat, K.281: 3. Rondeau (Allegro)",0.0782,0.14,170.292,0.0526,0.995,0.901,4,0.339,10,267308,-27.215,0.494,1,Tender
Gino G,Back - Radio Mix,0.979,0.81,128.046,0.0831,0.0467,0.77,4,0.652,2,180000,-2.919,0.519,1,Aggressive
Sleeping At Last,The Safety Dance,0.349,0.12,136.44,0.0365,0.706,0.000206,4,0.443,5,206797,-10.028,0.399,1,Gritty
Mark Chesnutt,Goin' Through The Big D,0.841,0.0953,173.787,0.0358,0.147,0.000296,5,0.567,10,155493,-7.554,0.864,1,Energetic
Stone Sour,Wicked Game,0.337,0.67,109.373,0.0284,0.644,8.79E-05,4,0.561,8,267253,-9.272,0.277,1,Sad
SEGA / Hideki Naganuma,What U Need,0.997,0.0954,138.009,0.0566,0.000251,0.881,4,0.559,11,167480,-4.452,0.974,1,Aggressive
Flosstradamus,Came Up,0.879,0.108,76.966,0.0729,0.00908,1.66E-06,4,0.613,6,214929,-4.649,0.508,1,Cool
Emily Wolfe,Atta Blues,0.533,0.191,144.039,0.0292,0.00279,0.0158,4,0.44,9,208173,-5.318,0.451,1,Defiant
Wax Tailor,Que Sera,0.73,0.159,165.843,0.107,0.263,0.421,4,0.581,9,164093,-5.038,0.467,1,Yearning
Asrai,Sour Ground,0.865,0.226,137.997,0.0375,0.00258,0.000627,4,0.473,2,238987,-3.514,0.513,1,Energetic
Left Lane Cruiser,Lost My Mind,0.942,0.0938,122.188,0.156,0.00139,0.871,4,0.509,2,194853,-4.932,0.562,1,Energetic
Disclosure,Latch,0.732,0.0897,122.025,0.168,0.0151,0.000119,4,0.502,1,255632,-5.45,0.529,1,Energetic
Xavier Dunn,Scattered,0.526,0.0713,133.454,0.0321,0.765,0.00117,4,0.391,2,224062,-6.385,0.187,1,Energetic
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,0.853,0.196,136.282,0.0353,0.0348,0.127,4,0.725,2,222813,-7.842,0.897,1,Energetic
Joe Satriani,Surfing with the Alien,0.936,0.407,167.333,0.0849,0.000221,0.839,4,0.392,5,266387,-6.532,0.552,1,Aggressive
ABBA,Dancing Queen,0.87,0.792,100.804,0.0428,0.358,0.000939,4,0.543,9,230400,-6.514,0.746,1,Excited
Antonio Giacca,Alright 2015,0.836,0.0641,124.021,0.0695,0.00989,0.114,4,0.781,2,333992,-5.616,0.554,1,Energetic
Style Project Feat. Edmundo,Roja De Algo,0.735,0.0832,89.955,0.0525,0.19,0.915,4,0.578,7,208867,-10.382,0.107,1,Sensual
Lea Rue,"Sleep, For The Weak! - Lost Frequencies Remix",0.501,0.0987,120.992,0.0413,0.249,0.0799,4,0.781,7,200331,-8.616,0.646,1,Sensual
Machine Head,Be Still And Know,0.986,0.36,112.482,0.138,4.48E-05,0.00101,3,0.332,9,343787,-3.048,0.233,1,Defiant
Avicii,Wake Me Up,0.806,0.115,124.118,0.0538,0.00389,0.000674,4,0.516,2,249693,-5.133,0.584,1,Energetic
Wolfgang Amadeus Mozart,"Cos fan tutte, K. 588: Act 2: Rondo ""Per Piet, Ben Mio, Perdona""",0.0216,0.123,61.51,0.0646,0.985,1.38E-06,4,0.201,4,459067,-24.703,0.0416,1,Tender
Frdric Chopin,"Nocturne No.1 in B flat minor, Op.9 No.1",0.0179,0.0831,61.757,0.0387,0.982,0.906,4,0.342,1,334053,-24.846,0.038,1,Tender
Sharon Van Etten,Every Time the Sun Comes Up,0.523,0.238,99.942,0.0373,0.433,1.23E-05,4,0.662,1,262520,-8.753,0.283,1,Energetic
Melosense,Beautiful Days feat. Stratos Messinis - Ryo Nakamura Remix,0.748,0.147,126.019,0.0551,0.121,0.872,4,0.648,2,434762,-8.738,0.323,1,Cool
One Way,Cutie Pie,0.535,0.0419,102.495,0.056,0.114,8.45E-06,4,0.878,2,328893,-10.128,0.958,1,Energetic
Eric Church,Give Me Back My Hometown,0.677,0.0825,103.96,0.0295,0.506,0.0592,4,0.619,1,252493,-7.789,0.493,1,Energetic
Pryda,Aftermath - Eric's Edit,0.953,0.289,125.978,0.0594,0.0139,0.75,4,0.661,6,540960,-5.175,0.538,1,Energetic
Flume,Holdin On,0.439,0.141,90.062,0.0615,0.182,1.76E-06,4,0.674,8,153640,-4.832,0.242,1,Sensual
Elvis Costello & The Attractions,"Radio, Radio",0.825,0.286,146.708,0.0764,0.16,6.68E-06,4,0.589,4,186147,-6.369,0.912,1,Excited
The Crazy Mad Professor,Sailors Dub,0.485,0.0661,144.405,0.0636,0.00867,0.903,4,0.718,2,180760,-7.866,0.729,1,Defiant
Villagers,Nothing Arrived,0.754,0.114,119.958,0.0349,0.128,0.001,4,0.558,7,226093,-5.8,0.336,1,Energetic
Julien Baker,Something,0.21,0.161,145.385,0.0335,0.807,5.97E-05,3,0.347,9,232551,-7.29,0.109,1,Energetic
M.I.A.,Freedun,0.947,0.0701,88.976,0.096,0.128,3.02E-05,4,0.664,1,282373,-3.86,0.826,1,Energetic
The English Beat,Mirror In the Bathroom,0.706,0.0353,171.212,0.0732,0.0793,0.0437,4,0.631,7,190333,-7.375,0.933,1,Energetic
Jonathan Butler,Sarah Sarah,0.429,0.142,179.895,0.0512,0.18,1.30E-06,4,0.637,5,302200,-10.225,0.704,1,Sensual
Giant Squid,Minoans,0.668,0.0835,116.221,0.0409,0.278,0.0973,4,0.252,11,507213,-6.125,0.0675,1,Sad
Snarky Puppy,I Asked - Live,0.372,0.683,120.441,0.0917,0.475,0.0146,4,0.607,7,414364,-14.58,0.269,1,Energetic
Italian Restaurant Music of Italy,Ciribiribin,0.363,0.0901,177.1,0.0472,0.865,0.383,3,0.479,5,141080,-10.737,0.601,1,Peaceful
M83,"Do It, Try It - TEPR Remix",0.53,0.149,124.998,0.116,0.0205,0.000149,4,0.741,8,358568,-7.766,0.275,1,Cool
Say Lou Lou,Julian,0.515,0.105,125.94,0.0366,0.096,0.327,4,0.569,9,225036,-9.217,0.507,1,Yearning
The Psychedelic Furs,Pretty in Pink,0.885,0.296,135.619,0.0775,0.117,0.0104,4,0.376,2,239960,-7.034,0.694,1,Yearning
Robin S,Show Me Love,0.833,0.0769,120.258,0.153,0.014,2.06E-05,4,0.811,5,252107,-4.259,0.582,1,Energetic
Tennyson,Beautiful World,0.528,0.342,155.995,0.0324,0.355,0.419,4,0.637,1,265704,-9.411,0.318,1,Sensual
Beach Slang,Punks In A Disco Bar,0.706,0.0578,144.768,0.0388,9.12E-05,0.107,4,0.379,4,160973,-2.533,0.584,1,Energetic
Kelly Joe Phelps,Lead Me On,0.307,0.101,176.666,0.031,0.834,0.000239,4,0.345,9,287947,-13.97,0.489,1,Easygoing
Alaskan,Incarcerated,0.772,0.303,131.775,0.05,0.000275,0.156,4,0.31,5,382269,-5.638,0.0753,1,Cool
Cathedrals,Howling,0.471,0.537,125.079,0.0363,0.316,0.0581,4,0.642,8,286308,-8.49,0.124,1,Sad
Cruel Hand,Dead Eyes Watching,0.959,0.275,178.074,0.158,4.44E-06,0.00178,4,0.221,2,177907,-5.339,0.332,1,Aggressive
Gillian Hills,Zou Bisou Bisou,0.478,0.0632,131.061,0.0395,0.902,0.00548,4,0.765,8,135653,-9.214,0.847,1,Energetic
Meredith Monk,Earth Seen from Above,0.00592,0.127,83.137,0.0384,0.987,0.101,3,0.085,8,433533,-35.162,0.0338,1,Sad
Arcade Fire,Rebellion (Lies),0.941,0.288,127.178,0.0349,0.0068,0.607,4,0.401,8,310893,-5.652,0.738,1,Energetic
George Frideric Handel,"Serse: Aria ""Ombra mai f"" (Atto I, scena 1)",0.095,0.109,107.44,0.0468,0.935,0.277,4,0.193,4,183333,-23.482,0.0432,1,Romantic
Roland Dyens,Lettre encore,0.0285,0.108,94.789,0.0477,0.983,0.922,4,0.342,5,99840,-26.567,0.113,1,Sad
Pezzner,All Night Dancing Party - Justin Martin Mix,0.815,0.0588,117.021,0.0685,0.00649,0.87,4,0.733,9,423883,-8.128,0.746,1,Energetic
Rage Against The Machine,Kick out the Jams,0.937,0.799,116.42,0.0623,0.000422,2.35E-05,4,0.44,2,190693,-2.418,0.524,1,Defiant
Jesse Rose,Chocolate - Milk Version,0.562,0.0579,114.014,0.131,0.0195,0.204,4,0.87,11,200937,-7.701,0.51,1,Aggressive
Tennyson,XYZ,0.472,0.0952,150.06,0.0478,0.022,0.489,4,0.646,7,189200,-9.343,0.54,1,Sensual
STRFKR,Sazed - Pillar Point Remix,0.875,0.0992,89.989,0.0372,0.00117,0.171,4,0.49,2,184595,-7.991,0.378,1,Energetic
Audiofly,6 Degrees (feat. Fiora) - Tale Of Us Remix,0.472,0.103,120.005,0.077,0.128,0.381,4,0.801,4,473551,-9.948,0.462,1,Energetic
Streets of Laredo,99.90%,0.891,0.0976,170.988,0.0532,0.0688,0.000172,4,0.374,10,169933,-4.295,0.722,1,Yearning
